City	nearest_area__latitude	nearest_area__longitude	weather__hourly__UTCdate	weather__hourly__UTCtime	weather__mintempC	weather__mintempF	weather__uvIndex	weather__hourly__time			weather__hourly__tempC	weather__hourly__tempF	weather__hourly__windspeedMiles	weather__hourly__windspeedKmph	weather__hourly__winddirDegree	weather__hourly__winddir16Point	weather__hourly__weatherCode	weather__hourly__weatherDesc__value	weather__hourly__precipMM	weather__hourly__humidity	weather__hourly__visibility	weather__hourly__pressure	weather__hourly__cloudcover	weather__hourly__HeatIndexC	weather__hourly__HeatIndexF	weather__hourly__DewPointC	weather__hourly__DewPointF	weather__hourly__WindChillC	weather__hourly__WindChillF	weather__hourly__WindGustMiles	weather__hourly__WindGustKmph	weather__hourly__FeelsLikeC	weather__hourly__FeelsLikeF
London	51.52	-0.11	2013-12-01	13:00:00	1	34	0	1300			5	41	12	20	277	W	113	Sunny	0	83	10	1028	38	5	41	2	36	1	34	17	27	1	34
London	51.52	-0.11	2013-12-01	14:00:00	1	34	0	1400			5	41	12	20	276	W	119	Cloudy	0	85	10	1027	59	5	41	3	37	1	34	17	27	1	34
London	51.52	-0.11	2013-12-01	15:00:00	1	34	0	1500			5	42	12	19	274	W	119	Cloudy	0	87	10	1027	80	5	42	3	38	2	35	17	27	2	35
London	51.52	-0.11	2013-12-01	16:00:00	1	34	0	1600			5	40	12	19	273	W	119	Cloudy	0	89	10	1027	80	5	40	3	37	1	33	18	29	1	33
London	51.52	-0.11	2013-12-01	17:00:00	1	34	0	1700			4	39	12	19	273	W	119	Cloudy	0	91	10	1026	81	4	39	2	36	0	31	19	31	0	31
London	51.52	-0.11	2013-12-01	18:00:00	1	34	0	1800			3	37	12	19	272	W	119	Cloudy	0	94	10	1026	82	3	37	2	36	-1	29	21	33	-1	29
London	51.52	-0.11	2013-12-01	19:00:00	1	34	0	1900			3	37	12	19	274	W	119	Cloudy	0	94	10	1026	71	3	37	2	35	-2	29	21	34	-2	29
London	51.52	-0.11	2013-12-01	20:00:00	1	34	0	2000			3	37	12	19	277	W	116	Partly cloudy	0	94	10	1026	60	3	37	2	35	-2	28	22	35	-2	28
London	51.52	-0.11	2013-12-01	21:00:00	1	34	0	2100			2	36	12	19	280	W	116	Partly cloudy	0	95	10	1026	49	2	36	2	35	-2	28	22	36	-2	28
London	51.52	-0.11	2013-12-01	22:00:00	1	34	0	2200			2	36	12	19	281	WNW	116	Partly cloudy	0	95	10	1026	52	2	36	2	35	-2	28	22	36	-2	28
London	51.52	-0.11	2013-12-01	23:00:00	1	34	0	2300			2	36	12	19	282	WNW	116	Partly cloudy	0	95	10	1025	56	2	36	2	35	-2	28	22	36	-2	28
London	51.52	-0.11	2012-12-01	00:00:00	-1	30	0	0			2	36	12	19	284	WNW	116	Partly cloudy	0	95	10	1025	59	2	36	2	35	-2	28	22	36	-2	28
London	51.52	-0.11	2012-12-01	01:00:00	-1	30	0	100			3	37	12	20	287	WNW	116	Partly cloudy	0	95	10	1025	73	3	37	2	36	-2	29	22	35	-2	29
London	51.52	-0.11	2012-12-01	02:00:00	-1	30	0	200			3	38	12	20	290	WNW	122	Overcast	0	95	10	1025	86	3	38	2	36	-1	30	22	35	-1	30
London	51.52	-0.11	2012-12-01	03:00:00	-1	30	0	300			4	39	12	20	293	WNW	122	Overcast	0	94	10	1025	100	4	39	3	37	-1	31	21	35	-1	31
London	51.52	-0.11	2012-12-01	04:00:00	-1	30	0	400			4	38	12	20	293	WNW	122	Overcast	0	95	10	1024	84	4	38	3	37	-1	31	22	35	-1	31
London	51.52	-0.11	2012-12-01	05:00:00	-1	30	0	500			3	38	12	20	293	WNW	116	Partly cloudy	0	95	10	1024	69	3	38	3	37	-1	30	22	36	-1	30
London	51.52	-0.11	2012-12-01	06:00:00	-1	30	0	600			3	38	13	20	294	WNW	116	Partly cloudy	0	95	10	1024	53	3	38	3	37	-1	30	23	36	-1	30
London	51.52	-0.11	2012-12-01	07:00:00	-1	30	0	700			4	39	13	20	296	WNW	116	Partly cloudy	0	95	10	1024	61	4	39	3	38	0	32	22	35	0	32
London	51.52	-0.11	2012-12-01	08:00:00	-1	30	0	800			5	40	13	20	298	WNW	119	Cloudy	0	94	10	1024	69	5	40	4	39	1	33	21	33	1	33
London	51.52	-0.11	2012-12-01	09:00:00	-1	30	0	900			5	42	13	20	300	WNW	119	Cloudy	0	93	10	1023	77	5	42	4	40	2	35	19	31	2	35
London	51.52	-0.11	2012-12-01	10:00:00	-1	30	0	1000			6	43	12	20	314	NW	119	Cloudy	0	90	10	1024	74	6	43	5	40	3	37	18	29	3	37
London	51.52	-0.11	2012-12-01	11:00:00	-1	30	0	1100			7	44	12	19	328	NNW	119	Cloudy	0	88	10	1024	70	7	44	5	41	4	38	16	26	4	38
London	51.52	-0.11	2012-12-01	12:00:00	-1	30	0	1200			8	46	11	18	342	NNW	119	Cloudy	0	85	10	1025	67	8	46	5	42	5	40	14	23	5	40
London	51.52	-0.11	2012-12-01	13:00:00	-1	30	0	1300			7	45	11	17	344	NNW	119	Cloudy	0	84	10	1025	45	7	45	5	41	5	40	13	21	5	40
London	51.52	-0.11	2012-12-01	14:00:00	-1	30	0	1400			7	45	10	16	346	NNW	113	Sunny	0	83	10	1025	24	7	45	5	40	5	40	12	19	5	40
London	51.52	-0.11	2012-12-01	15:00:00	-1	30	0	1500			7	45	9	14	348	NNW	113	Sunny	0	82	10	1025	3	7	45	4	40	5	40	10	17	5	40
London	51.52	-0.11	2012-12-01	16:00:00	-1	30	0	1600			6	43	9	14	347	NNW	113	Sunny	0	84	10	1026	2	6	43	4	39	3	38	11	17	3	38
London	51.52	-0.11	2012-12-01	17:00:00	-1	30	0	1700			5	41	9	14	345	NNW	113	Clear	0	87	10	1027	1	5	41	3	37	2	36	11	18	2	36
London	51.52	-0.11	2012-12-01	18:00:00	-1	30	0	1800			4	39	9	14	344	NNW	113	Clear	0	89	10	1028	0	4	39	2	36	1	33	12	19	1	33
London	51.52	-0.11	2012-12-01	19:00:00	-1	30	0	1900			4	38	9	14	341	NNW	113	Clear	0	89	10	1028	0	4	38	2	36	0	32	12	19	0	32
London	51.52	-0.11	2012-12-01	20:00:00	-1	30	0	2000			3	38	9	14	338	NNW	113	Clear	0	89	10	1029	0	3	38	2	35	0	32	12	19	0	32
London	51.52	-0.11	2012-12-01	21:00:00	-1	30	0	2100			3	37	9	14	335	NNW	113	Clear	0	89	10	1029	0	3	37	1	34	-1	31	12	19	-1	31
London	51.52	-0.11	2012-12-01	22:00:00	-1	30	0	2200			3	37	8	13	335	NNW	113	Clear	0	90	10	1030	0	3	37	1	34	-1	31	12	19	-1	31
London	51.52	-0.11	2012-12-01	23:00:00	-1	30	0	2300			3	37	8	13	334	NNW	113	Clear	0	91	10	1030	1	3	37	1	34	-1	30	11	18	-1	30
